0, 0.020202,  0.016036,  0.014233,  0.016145,  0.014931,  0.012450,  0.014160,  0.014851,  0.016756,  0.015162,  0.021422,  0.021179,  0.024305,  0.020167,  0.021432,  0.034660, 
1, 0.000037,  0.000034,  0.000031,  0.000030,  0.000027,  0.000028,  0.000032,  0.000028,  0.000031,  0.000032,  0.000031,  0.000034,  0.000036,  0.000036,  0.000038,  0.000038, 
2, 0.039575,  0.028482,  0.023744,  0.022637,  0.020514,  0.017969,  0.019170,  0.018820,  0.020914,  0.019160,  0.024581,  0.023667,  0.027510,  0.022813,  0.023674,  0.037238, 
3, 0.073456,  0.052470,  0.043627,  0.041365,  0.037476,  0.032409,  0.033862,  0.032609,  0.036166,  0.033292,  0.041334,  0.039282,  0.044130,  0.038106,  0.039209,  0.059563, 
4, 0.024818,  0.018966,  0.016539,  0.015908,  0.014876,  0.012859,  0.014044,  0.013662,  0.015672,  0.014030,  0.018838,  0.018230,  0.020556,  0.017165,  0.018065,  0.028808, 
5, 0.053160,  0.043834,  0.037749,  0.038694,  0.035614,  0.030532,  0.035410,  0.034683,  0.041375,  0.037561,  0.051811,  0.049470,  0.056807,  0.046310,  0.048390,  0.080464, 
6, 0.041520,  0.028395,  0.023543,  0.021903,  0.019925,  0.017021,  0.017576,  0.016971,  0.018947,  0.017262,  0.021321,  0.020250,  0.023493,  0.020108,  0.020752,  0.031395, 
7, 0.038795,  0.032053,  0.027723,  0.029167,  0.026862,  0.022918,  0.027278,  0.027071,  0.032991,  0.029094,  0.043099,  0.041068,  0.047708,  0.037266,  0.039904,  0.068537, 
8, 0.095118,  0.092838,  0.088092,  0.090106,  0.079361,  0.078013,  0.089103,  0.082052,  0.095532,  0.092350,  0.101640,  0.105489,  0.112622,  0.101106,  0.105326,  0.135882, 
9, 0.111692,  0.084074,  0.070654,  0.069707,  0.061326,  0.059787,  0.061844,  0.061480,  0.066298,  0.060638,  0.071262,  0.069216,  0.076974,  0.071412,  0.074514,  0.098824, 
10, 0.000034,  0.000039,  0.000045,  0.000044,  0.000039,  0.000033,  0.000035,  0.000032,  0.000036,  0.000057,  0.000033,  0.000040,  0.000039,  0.000037,  0.000038,  0.000039, 
11, 0.053470,  0.037629,  0.030685,  0.028345,  0.025463,  0.022314,  0.022838,  0.022340,  0.024619,  0.023040,  0.028527,  0.027210,  0.030251,  0.026867,  0.027552,  0.040673, 
12, 0.023906,  0.018198,  0.014886,  0.014308,  0.012825,  0.011161,  0.012123,  0.011675,  0.012824,  0.012079,  0.015159,  0.014331,  0.016222,  0.014006,  0.014624,  0.022026, 
13, 0.000405,  0.000283,  0.000297,  0.000273,  0.000285,  0.000245,  0.000334,  0.000319,  0.000345,  0.000264,  0.000454,  0.000560,  0.000350,  0.000394,  0.000400,  0.000458, 
14, 0.000024,  0.000028,  0.000028,  0.000028,  0.000026,  0.000026,  0.000028,  0.000026,  0.000029,  0.000029,  0.000026,  0.000029,  0.000030,  0.000030,  0.000031,  0.000030, 
15, 0.000023,  0.000027,  0.000026,  0.000026,  0.000023,  0.000023,  0.000027,  0.000023,  0.000026,  0.000027,  0.000024,  0.000027,  0.000028,  0.000027,  0.000028,  0.000027, 
16, 0.000038,  0.000034,  0.000027,  0.000027,  0.000025,  0.000025,  0.000028,  0.000026,  0.000029,  0.000030,  0.000027,  0.000030,  0.000032,  0.000033,  0.000033,  0.000034, 
17, 0.045687,  0.037280,  0.033229,  0.036482,  0.033798,  0.029002,  0.035299,  0.035452,  0.045362,  0.039723,  0.061059,  0.055926,  0.067362,  0.050344,  0.054637,  0.100237, 
18, 0.000038,  0.000038,  0.000033,  0.000033,  0.000028,  0.000030,  0.000033,  0.000030,  0.000034,  0.000034,  0.000031,  0.000038,  0.000037,  0.000036,  0.000036,  0.000036, 
19, 0.012680,  0.008910,  0.007534,  0.007179,  0.006682,  0.005680,  0.005982,  0.005954,  0.006782,  0.005984,  0.007816,  0.007907,  0.008443,  0.007319,  0.007648,  0.011780, 
