0,0.083304328 0.083304413 
1,0.350998750 0.360126464 
2,0.533310502 0.540594480 
3,0.133741461 0.137650469 
4,0.098469567 0.101021597 
5,0.246406459 0.255618075 
6,0.278452546 0.282141492 
7,0.121461056 0.122434961 
8,0.213472431 0.216658522 
9,0.161503344 0.162474196 
10,0.083348329 0.084533516 
11,0.175822023 0.177683111 
12,0.133695557 0.136894760 
13,0.140060506 0.142352043 
14,0.244833848 0.248212306 
15,0.397159764 0.400920732 
16,0.184476468 0.187955382 
17,0.117006498 0.119687644 
18,0.172406281 0.174866507 
19,0.176395860 0.176098180 
20,0.129642846 0.130180900 
21,0.050852032 0.050923758 
22,0.076700501 0.078090860 
23,0.148818092 0.148974547 
24,0.638186487 0.640872943 
25,0.025743521 0.026182892 
26,0.669027162 0.669849828 
27,0.104298657 0.106084952 
28,0.050025486 0.051846082 
29,0.177432621 0.178441463 
30,0.107417677 0.107967169 
31,0.223123811 0.222406488 
32,0.148087438 0.149044593 
33,0.063457306 0.062854646 
34,0.171715807 0.179438533 
35,0.212830569 0.213558844 
36,0.112355232 0.115187026 
37,0.095595278 0.096538721 
38,0.209493203 0.208356430 
39,0.057633033 0.061227330 
40,0.068217063 0.068916768 
41,0.604685685 0.608015876 
42,0.253928901 0.261094216 
43,0.167333152 0.167793034 
44,0.253299905 0.255367157 
45,0.420479738 0.422586670 
46,0.097179191 0.099612783 
47,0.097353188 0.099628422 
48,0.062502103 0.063207291 
49,0.058553788 0.061828346 
