0, 0.003544
1, 0.003890
2, 0.000046
3, 0.001990
4, 0.004620
5, 0.004697
6, 0.000066
7, 0.000347
8, 0.000552
9, 0.000536
10, 0.002110
11, 0.000048
12, 0.001467
13, 0.004808
14, 0.004797
15, 0.004726
16, 0.002625
17, 0.001154
18, 0.004787
19, 0.004035
20, 0.000050
21, 0.000049
22, 0.003160
23, 0.004639
24, 0.000051
25, 0.000043
26, 0.002628
27, 0.002733
28, 0.000044
29, 0.004718
30, 0.000616
31, 0.002105
32, 0.000603
33, 0.002212
34, 0.000052
35, 0.006128
36, 0.001663
37, 0.000643
38, 0.000046
39, 0.000053
40, 0.004536
41, 0.002787
42, 0.004285
43, 0.002282
44, 0.004634
45, 0.000050
46, 0.000222
47, 0.000046
48, 0.006204
49, 0.004868
