0, 0.003926
1, 0.004636
2, 0.000159
3, 0.002051
4, 0.004653
5, 0.004566
6, 0.000177
7, 0.000434
8, 0.000836
9, 0.000621
10, 0.002290
11, 0.000157
12, 0.001516
13, 0.005268
14, 0.004722
15, 0.004670
16, 0.003049
17, 0.001345
18, 0.004681
19, 0.004342
20, 0.000158
21, 0.000161
22, 0.003915
23, 0.004551
24, 0.000159
25, 0.000155
26, 0.003055
27, 0.003322
28, 0.000157
29, 0.004596
30, 0.000662
31, 0.002282
32, 0.000677
33, 0.002561
34, 0.000163
35, 0.007258
36, 0.002046
37, 0.000705
38, 0.000159
39, 0.000170
40, 0.004389
41, 0.003138
42, 0.005210
43, 0.002272
44, 0.004571
45, 0.000158
46, 0.000317
47, 0.000156
48, 0.006428
49, 0.004769
