0, 0.024071,  0.017506,  0.015024, 
1, 0.000052,  0.000038,  0.000032, 
2, 0.000028,  0.000021,  0.000017, 
3, 0.214416,  0.210905,  0.213346, 
4, 0.000048,  0.000038,  0.000031, 
5, 0.220801,  0.215462,  0.217897, 
6, 0.000048,  0.000038,  0.000036, 
7, 0.051628,  0.045710,  0.044981, 
8, 0.024883,  0.018527,  0.016424, 
9, 0.009390,  0.006906,  0.006238, 
10, 0.216355,  0.212445,  0.215023, 
11, 0.219318,  0.214619,  0.217020, 
12, 0.000048,  0.000037,  0.000032, 
13, 0.009114,  0.006430,  0.005725, 
14, 0.017697,  0.013227,  0.011701, 
15, 0.064753,  0.056396,  0.054097, 
16, 0.000050,  0.000047,  0.000033, 
17, 0.027703,  0.020530,  0.018492, 
18, 0.000049,  0.000036,  0.000041, 
19, 0.047550,  0.037184,  0.034082, 
20, 0.000052,  0.000039,  0.000034, 
21, 0.239425,  0.227446,  0.228521, 
22, 0.006653,  0.005058,  0.004575, 
23, 0.020574,  0.015516,  0.013813, 
24, 0.007182,  0.005252,  0.004526, 
25, 0.030521,  0.022906,  0.020470, 
26, 0.046355,  0.034368,  0.032994, 
27, 0.050597,  0.034825,  0.027263, 
28, 0.000047,  0.000036,  0.000031, 
29, 0.013277,  0.009686,  0.008273, 
30, 0.000047,  0.000037,  0.000030, 
31, 0.010312,  0.007859,  0.006919, 
32, 0.000046,  0.000036,  0.000030, 
33, 0.027330,  0.019401,  0.016141, 
34, 0.000047,  0.000036,  0.000031, 
35, 0.024783,  0.018051,  0.015407, 
36, 0.009320,  0.006969,  0.006086, 
37, 0.216388,  0.210446,  0.212788, 
38, 0.022498,  0.016275,  0.014048, 
39, 0.027303,  0.019660,  0.016697, 
40, 0.028195,  0.021717,  0.019970, 
41, 0.000048,  0.000037,  0.000030, 
42, 0.022808,  0.016178,  0.013205, 
43, 0.003723,  0.002742,  0.002555, 
44, 0.149337,  0.143882,  0.145282, 
45, 0.014083,  0.010348,  0.008659, 
46, 0.015379,  0.011554,  0.010285, 
47, 0.016324,  0.012039,  0.010487, 
48, 0.059484,  0.052655,  0.051737, 
49, 0.012293,  0.009154,  0.008140, 
