0, 0.003713
1, 0.004226
2, 0.000092
3, 0.002047
4, 0.004639
5, 0.004669
6, 0.000116
7, 0.000388
8, 0.000696
9, 0.000581
10, 0.002227
11, 0.000092
12, 0.001503
13, 0.004993
14, 0.004769
15, 0.004708
16, 0.002833
17, 0.001256
18, 0.004766
19, 0.004170
20, 0.000096
21, 0.000100
22, 0.003504
23, 0.004607
24, 0.000097
25, 0.000090
26, 0.002818
27, 0.003009
28, 0.000094
29, 0.004665
30, 0.000626
31, 0.002221
32, 0.000640
33, 0.002383
34, 0.000101
35, 0.006650
36, 0.001819
37, 0.000676
38, 0.000092
39, 0.000101
40, 0.004471
41, 0.002973
42, 0.004719
43, 0.002303
44, 0.004602
45, 0.000099
46, 0.000263
47, 0.000091
48, 0.006305
49, 0.004813
