0,27.897728, 
1, 9.081888, 
2, 0.797474, 
3, 0.819773, 
4,16.411655, 
5, 9.609606, 
6, 3.356233, 
7, 2.966473, 
8, 2.133814, 
9,12.725048, 
10,19.319807, 
11,21.386518, 
12, 2.712931, 
13,54.355984, 
14,15.532168, 
15,64.885406, 
16,15.592136, 
17, 5.542292, 
18, 9.667098, 
19, 1.751679, 
20, 1.593734, 
21,12.860932, 
22, 5.463397, 
23, 6.230509, 
24,10.266365, 
25,19.751303, 
26,34.548965, 
27, 0.961412, 
28, 2.128200, 
29, 2.448696, 
30, 3.177313, 
31, 7.753369, 
32,13.165084, 
33, 9.584031, 
34, 5.066622, 
35,25.325233, 
36, 8.331451, 
37, 8.765529, 
38,34.379307, 
39,10.959261, 
40,18.071445, 
41, 5.378995, 
42,33.923386, 
43,26.430197, 
44,14.371209, 
45,24.308510, 
46,12.163813, 
47,30.280006, 
48,16.311535, 
49,11.198930, 
