0, 0.000126
1, 0.000124
2, 0.005175
3, 0.000441
4, 0.001861
5, 0.000123
6, 0.001760
7, 0.005901
8, 0.005678
9, 0.001339
10, 0.005006
11, 0.000126
12, 0.000131
13, 0.000128
14, 0.008727
15, 0.000123
16, 0.005515
17, 0.006005
18, 0.005183
19, 0.005119
20, 0.000132
21, 0.005690
22, 0.001856
23, 0.001312
24, 0.001853
25, 0.005892
26, 0.001707
27, 0.000127
28, 0.000276
29, 0.000122
30, 0.001880
31, 0.005221
32, 0.003277
33, 0.000134
34, 0.000124
35, 0.000122
36, 0.001852
37, 0.001897
38, 0.001945
39, 0.000727
40, 0.001056
41, 0.005751
42, 0.001179
43, 0.001584
44, 0.000124
45, 0.001598
46, 0.000123
47, 0.000122
48, 0.000123
49, 0.000122
